Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
18:50:00 - 19:35:00 , , , Tópicos Em Contabilidade I , Marketing Ii , Fundamentos De Contabilidade , Fundamentos De Matemática Para Computação , Integração 1 
19:35:00 - 20:20:00 , , , Tópicos Em Contabilidade I , Marketing Ii , Fundamentos De Contabilidade , Fundamentos De Matemática Para Computação , Integração 1 
20:30:00 - 21:15:00 , , , , Marketing Ii , Princípios De Economia , Sistemas De Apoio À Decisão , Linguagem De Programação Java 
21:15:00 - 22:00:00 , , , , Marketing Ii , Princípios De Economia , Sistemas De Apoio À Decisão , Linguagem De Programação Java 
Sala: 106 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Mercadologia , Gestão De Ti Em Unidades De Informação , Tópicos Em Genética , Mercadologia , 
08:50:00 - 09:40:00 , , , Mercadologia , Gestão De Ti Em Unidades De Informação , Tópicos Em Genética , Mercadologia , 
10:00:00 - 10:50:00 , , , Indexação E Resumos , Gestão De Ti Em Unidades De Informação , Tópicos Em Genética , Trabalho De Conclusão De Curso 2 , 
10:50:00 - 11:40:00 , , , Indexação E Resumos , Gestão De Ti Em Unidades De Informação , Tópicos Em Genética , Trabalho De Conclusão De Curso 2 , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , Tópicos Em Genética , , Introdução À Computação , Farmacologia I 
14:50:00 - 15:40:00 , , , , , , Introdução À Computação , Farmacologia I 
16:00:00 - 16:50:00 , , , , , , Introdução À Computação , Farmacologia I 
16:50:00 - 17:40:00 , , , , Tópicos Em Genética , , Introdução À Computação , Farmacologia I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Termodinâmica , , Termodinâmica , , 
19:35:00 - 20:20:00 , , , Termodinâmica , , Termodinâmica , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 107 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Genômica E Proteômica , Biossegurança , Operações Unitárias 1 , Tópicos Em Fisiologia , Controle Digital De Processos 
08:50:00 - 09:40:00 , , , Genômica E Proteômica , Biossegurança , Operações Unitárias 1 , Tópicos Em Fisiologia , Controle Digital De Processos 
10:00:00 - 10:50:00 , , , Genômica E Proteômica , Biossegurança , Álgebra Linear , Tópicos Em Fisiologia , Mercadologia 
10:50:00 - 11:40:00 , , , Administração Da Produção E Operações , Biossegurança , Álgebra Linear , Tópicos Em Fisiologia , Mercadologia 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , Físico-Química 4 , , Físico-Química 4 , , 
14:00:00 - 14:50:00 , , , Espécies Ameaçadas , Tópicos Em Fisiologia , Fisiologia Humana , Biologia Da Conservação , Fisiologia 
14:50:00 - 15:40:00 , , , Espécies Ameaçadas , Tópicos Em Fisiologia , Fisiologia Humana , Biologia Da Conservação , Fisiologia 
16:00:00 - 16:50:00 , , , Espécies Ameaçadas , Farmacobotânica , Controle Digital De Processos , Biologia Da Conservação , Fisiologia 
16:50:00 - 17:40:00 , , , Espécies Ameaçadas , Biofísica , Controle Digital De Processos , Biologia Da Conservação , Fisiologia 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Física Aplicada À Biologia , Educação Em Saúde , Física Aplicada À Biologia , Física Aplicada À Biologia , Introdução À Língua Brasileira De Sinais - Libras 
19:35:00 - 20:20:00 , , , Física Aplicada À Biologia , Educação Em Saúde , Física Aplicada À Biologia , Física Aplicada À Biologia , Introdução À Língua Brasileira De Sinais - Libras 
20:30:00 - 21:15:00 , , , Física Aplicada À Biologia , Educação Em Saúde , Anatomia Vegetal , Física Aplicada À Biologia , Introdução À Língua Brasileira De Sinais - Libras 
21:15:00 - 22:00:00 , , , Bioestatística , Bioestatística , Anatomia Vegetal , Física Aplicada À Biologia , Introdução À Língua Brasileira De Sinais - Libras 
Sala: 108 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , Corpo Humano Saudável I , 
08:00:00 - 08:50:00 , , , Corpo Humano Saudável I , Tópicos Em Fisiologia , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
08:50:00 - 09:40:00 , , , Corpo Humano Saudável I , Tópicos Em Fisiologia , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
10:00:00 - 10:50:00 , , , Operações Unitárias 1 , Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
10:50:00 - 11:40:00 , , , Operações Unitárias 1 , Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo , Genética: Passado, Presente E Futuro , Tópicos Em Genética , Tópicos Em Genética 
11:40:00 - 12:30:00 , , , , , , , Metodologia Científica E Filosofia Da Ciência 
13:10:00 - 14:00:00 , , , , , , Educação Em Saúde , 
14:00:00 - 14:50:00 , , , Morfologia E Taxonomia Vegetal , Tópicos Em Genética , Métodos Analíticos Em Biomedicina , Métodos Analíticos Em Biomedicina , Ecologia Do Cerrado 
14:50:00 - 15:40:00 , , , Morfologia E Taxonomia Vegetal , Tópicos Em Genética , Métodos Analíticos Em Biomedicina , Métodos Analíticos Em Biomedicina , Ecologia Do Cerrado 
16:00:00 - 16:50:00 , , , Administração Da Produção E Operações , Tópicos Em Genética , Métodos Analíticos Em Biomedicina , Métodos Analíticos Em Biomedicina , Ecologia Do Cerrado 
16:50:00 - 17:40:00 , , , Administração Da Produção E Operações , Tópicos Em Genética , Métodos Analíticos Em Biomedicina , Métodos Analíticos Em Biomedicina , Ecologia Do Cerrado 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Educação Em Saúde , Farmacologia , Anatomia Vegetal , 
19:35:00 - 20:20:00 , , , , Educação Em Saúde , Farmacologia , Anatomia Vegetal , 
20:30:00 - 21:15:00 , , , , Educação Em Saúde , Farmacologia , Mecânica Clássica I , 
21:15:00 - 22:00:00 , , , , Educação Em Saúde , Farmacologia , Mecânica Clássica I , 
Sala: 109 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Promoção Da Saúde I , Cálculo 3a , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Teoria Política I , Metodologia Científica E Filosofia Da Ciência 
08:50:00 - 09:40:00 , , , Promoção Da Saúde I , Cálculo 3a , Ecologia Do Cerrado , Cálculo 3a , Metodologia Científica E Filosofia Da Ciência 
10:00:00 - 10:50:00 , , , Biofísica , Fisiologia Humana E Biofísica , Cálculo 1c , Biofísica , Bioestatística 
10:50:00 - 11:40:00 , , , Biofísica , Fisiologia Humana E Biofísica , Cálculo 1c , Biofísica , Bioestatística 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Morfologia E Sistemática De Espermatófitas , Genética , Álgebra Linear , Química Fundamental , 
14:50:00 - 15:40:00 , , , Morfologia E Sistemática De Espermatófitas , Genética , Álgebra Linear , Química Fundamental , 
16:00:00 - 16:50:00 , , , Administração , Biologia Da Conservação , Álgebra Linear , Administração Da Produção E Operações , 
16:50:00 - 17:40:00 , , , Administração , Biologia Da Conservação , Álgebra Linear , Mecânica Clássica I , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Físico-Química 2 , , Introdução À Arquitetura I , 
19:35:00 - 20:20:00 , , , , Físico-Química 2 , , Química Fundamental , 
20:30:00 - 21:15:00 , , , , História Dos Museus , , , 
21:15:00 - 22:00:00 , , , , História Dos Museus , , , 
Sala: 110 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Teoria Política I , Rp Especializada I , Tópicos Contemporâneos: Mídias Digitais , Paleobiologia , Ciência Política 1 
08:50:00 - 09:40:00 , , , Teoria Política I , Rp Especializada I , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Teoria Política I , Ciência Política 1 
10:00:00 - 10:50:00 , , , Mecânica Clássica Ii , Bioquímica Ii , Química Geral Teórica , Química Geral Teórica , Ciência Política 1 
10:50:00 - 11:40:00 , , , Mecânica Clássica Ii , Bioquímica Ii , Química Geral Teórica , Química Geral Teórica , Ciência Política 1 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Álgebra Linear , Biologia Da Conservação , Introdução À Computação , Fisiologia Humana , 
14:50:00 - 15:40:00 , , , Álgebra Linear , Biologia Da Conservação , Introdução À Computação , Fisiologia Humana , 
16:00:00 - 16:50:00 , , , Paleobiologia , Biofísica , , Mecânica Clássica I , 
16:50:00 - 17:40:00 , , , Morfologia E Sistemática De Espermatófitas , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Introdução À Arquitetura I , , Química Fundamental , 
19:35:00 - 20:20:00 , , , , Química Fundamental , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 201 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Morfologia E Sistemática De Espermatófitas , Mídias Institucionais , Fundamentos Filosófico E Sócio-Histór. Da Educação , Imunologia , Tópicos Contemporâneos: Mídias Digitais 
08:50:00 - 09:40:00 , , , Morfologia E Sistemática De Espermatófitas , Mídias Institucionais , Tópicos Contemporâneos: Mídias Digitais , Paleobiologia , Tópicos Contemporâneos: Mídias Digitais 
10:00:00 - 10:50:00 , , , Probabilidade E Estatística , Educação Em Saúde , Biologia Da Conservação , Ecofisiologia Vegetal , 
10:50:00 - 11:40:00 , , , , Educação Em Saúde , Biologia Da Conservação , Teoria Política I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Anatomia Vegetal , Cálculo 3a , Farmacologia I , Operações Unitárias 1 , 
14:50:00 - 15:40:00 , , , Anatomia Vegetal , Cálculo 3a , Farmacologia I , Operações Unitárias 1 , 
16:00:00 - 16:50:00 , , , Morfologia E Sistemática De Espermatófitas , Bioquímica I , , Educação Em Saúde , 
16:50:00 - 17:40:00 , , , Anatomia Vegetal , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Química Fundamental , , , 
19:35:00 - 20:20:00 , , , , Filosofia Da Linguagem , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 203 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Álgebra Linear , Química Fundamental , Biologia Da Conservação , Operações Unitárias 1 , Introdução À Computação 
08:50:00 - 09:40:00 , , , Álgebra Linear , Química Fundamental , Fundamentos Filosófico E Sócio-Histór. Da Educação , Imunologia , Introdução À Computação 
10:00:00 - 10:50:00 , , , Paleobiologia , Química Inorgânica , Bioestatística , Bioquímica Ii , 
10:50:00 - 11:40:00 , , , , Química Inorgânica , Química Inorgânica , Bioquímica Ii , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Cálculo 1c , Biofísica , Introdução À Computação , Química Geral B , 
14:50:00 - 15:40:00 , , , Cálculo 1c , Biofísica , Introdução À Computação , Química Geral B , 
16:00:00 - 16:50:00 , , , Anatomia Vegetal , , , , 
16:50:00 - 17:40:00 , , , Química Fundamental , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Filosofia Da Linguagem , , , 
19:35:00 - 20:20:00 , , , , História Dos Museus , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 204 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Psicologia Organizacional , Cálculo 3a , Metodologia Científica E Filosofia Da Ciência , Cálculo 3a , Filosofia Da Linguagem 
08:50:00 - 09:40:00 , , , Psicologia Organizacional , Cálculo 3a , Metodologia Científica E Filosofia Da Ciência , Cálculo 3a , Filosofia Da Linguagem 
10:00:00 - 10:50:00 , , , Psicologia Organizacional , Metodologia Científica E Filosofia Da Ciência , Introdução À Física Nuclear E De Partículas , Físico-Química 4 , Filosofia Da Linguagem 
10:50:00 - 11:40:00 , , , Psicologia Organizacional , Cálculo 1a , Introdução À Física Nuclear E De Partículas , Físico-Química 4 , Filosofia Da Linguagem 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , Farmacobotânica , , , , 
14:00:00 - 14:50:00 , , , Física I , Metodologia Científica E Filosofia Da Ciência , Metodologia Científica E Filosofia Da Ciência , , Química Geral B 
14:50:00 - 15:40:00 , , , Física I , Metodologia Científica E Filosofia Da Ciência , Metodologia Científica E Filosofia Da Ciência , , Química Geral B 
16:00:00 - 16:50:00 , , , Introdução À Computação , Métodos Analíticos Em Biomedicina , Farmacobotânica , , Parasitologia Veterinária 
16:50:00 - 17:40:00 , , , Introdução À Computação , Métodos Analíticos Em Biomedicina , Introdução À Computação , , Parasitologia Veterinária 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Mecânica Clássica I , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Mecânica Clássica I , Psicologia Da Educação Ii 
19:35:00 - 20:20:00 , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Mecânica Clássica I , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Mecânica Clássica I , Psicologia Da Educação Ii 
20:30:00 - 21:15:00 , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , 
21:15:00 - 22:00:00 , , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , 
Sala: 205 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Rp Especializada I , Metodologia Científica E Filosofia Da Ciência , Probabilidade E Estatística , Probabilidade E Estatística , Farmacobotânica 
08:50:00 - 09:40:00 , , , Rp Especializada I , Metodologia Científica E Filosofia Da Ciência , Probabilidade E Estatística , Probabilidade E Estatística , Farmacobotânica 
10:00:00 - 10:50:00 , , , Introdução À Física Nuclear E De Partículas , Probabilidade E Estatística , Morfologia E Taxonomia Vegetal , Química Geral B , Introdução À Computação 
10:50:00 - 11:40:00 , , , Introdução À Física Nuclear E De Partículas , Rp Especializada I , Morfologia E Taxonomia Vegetal , Química Geral B , Introdução À Computação 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Probabilidade E Estatística , Química Fundamental , Química Geral B , , Introdução À Computação 
14:50:00 - 15:40:00 , , , Probabilidade E Estatística , Química Fundamental , Química Geral B , , Introdução À Computação 
16:00:00 - 16:50:00 , , , Introdução À Computação , , Introdução À Computação , , Introdução À Computação 
16:50:00 - 17:40:00 , , , Introdução À Computação , , Introdução À Computação , , Introdução À Computação 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Psicologia Da Educação Ii , Termodinâmica , Psicologia Da Educação Ii , Termodinâmica , 
19:35:00 - 20:20:00 , , , Psicologia Da Educação Ii , Termodinâmica , Psicologia Da Educação Ii , Termodinâmica , 
20:30:00 - 21:15:00 , , , Psicologia Da Educação Ii , , Termodinâmica , , 
21:15:00 - 22:00:00 , , , Psicologia Da Educação Ii , , Termodinâmica , , 
Sala: 206 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Administração Da Produção E Operações , Métodos Analíticos Em Biomedicina , Administração Da Produção E Operações , Dosimetria , Mercadologia 
08:50:00 - 09:40:00 , , , Administração Da Produção E Operações , Métodos Analíticos Em Biomedicina , Administração Da Produção E Operações , Dosimetria , Mercadologia 
10:00:00 - 10:50:00 , , , Administração Da Produção E Operações , Métodos Analíticos Em Biomedicina , Administração Da Produção E Operações , Introdução À Instrumentação Biomédica , Álgebra Linear 
10:50:00 - 11:40:00 , , , Fisiologia Humana , Métodos Analíticos Em Biomedicina , Administração Da Produção E Operações , Operações Unitárias 1 , Álgebra Linear 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Tópicos Em Genética , Preparo De Amostras , Gestão Da Produção E Da Qualidade , Preparo De Amostras , Fisiologia 
14:50:00 - 15:40:00 , , , Tópicos Em Genética , Preparo De Amostras , Gestão Da Produção E Da Qualidade , Preparo De Amostras , Fisiologia 
16:00:00 - 16:50:00 , , , Tópicos Em Genética , Farmacobotânica , Cálculo 3a , Biologia Molecular , Fisiologia 
16:50:00 - 17:40:00 , , , Tópicos Em Genética , Administração Da Produção E Operações , Cálculo 3a , Biologia Molecular , Fisiologia 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Bioestatística , Bioestatística , Anatomia Vegetal , Biofísica , Biofísica 
19:35:00 - 20:20:00 , , , Bioestatística , Bioestatística , Anatomia Vegetal , Biofísica , Biofísica 
20:30:00 - 21:15:00 , , , Bioestatística , Bioestatística , Biofísica , Biofísica , Física Aplicada À Biologia 
21:15:00 - 22:00:00 , , , Anatomia Vegetal , , Biofísica , Biofísica , Física Aplicada À Biologia 
Sala: 207 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Paleobiologia , Dosimetria , Processos E Ferramentas Em Design , Biossegurança , Introdução À Computação 
08:50:00 - 09:40:00 , , , Paleobiologia , Dosimetria , Processos E Ferramentas Em Design , Biossegurança , Introdução À Computação 
10:00:00 - 10:50:00 , , , Fisiologia Humana , Operações Unitárias 1 , Processos E Ferramentas Em Design , Operações Unitárias 1 , 
10:50:00 - 11:40:00 , , , Química Geral B , Operações Unitárias 1 , Processos E Ferramentas Em Design , Introdução À Instrumentação Biomédica , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Gestão Da Produção E Da Qualidade , Administração Da Produção E Operações , Físico-Química 4 , Biossegurança , 
14:50:00 - 15:40:00 , , , Biologia Molecular , Administração Da Produção E Operações , Físico-Química 4 , Biossegurança , 
16:00:00 - 16:50:00 , , , Controle Digital De Processos , Administração Da Produção E Operações , , Fisiologia , 
